metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
storm.topologyStats.last_10m.transferred,gauge,,sample,,All Time Transferred Tuples,1,storm,
storm.topologyStats.last_10m.uptimeSeconds,gauge,,second,,Total Topology Uptime,1,storm,
storm.topologyStats.last_10m.workersTotal,gauge,,worker,worker,Total Number of Workers,0,storm,
storm.worker.last_10m.assignedCpu,gauge,,percent,core,Assigned Worker CPU Percentage,0,storm,
storm.worker.last_10m.assignedMemOffHeap,gauge,,mebibyte,,Off Heap Memory Assigned for a Worker,0,storm,
storm.worker.last_10m.assignedMemOnHeap,gauge,,mebibyte,,On Heap Memory Assigned for a Worker,0,storm,
storm.worker.last_10m.componentNumTasks,gauge,,task,task,Total Number of Component Tasks for a Worker,0,storm,
storm.worker.last_10m.executorsTotal,gauge,,thread,,Total Number of Executors for a Worker,0,storm,
storm.worker.last_10m.uptimeSeconds,gauge,,second,,Worker Uptime,1,storm,
storm.topologyStats.last_3h.acked,gauge,,sample,,All Time Acked Tuples,1,storm,
storm.topologyStats.last_3h.failed,gauge,,sample,,All Time Failed Tuples,-1,storm,
storm.topologyStats.last_3h.transferred,gauge,,sample,,Number of Transferred Tuples,1,storm,
storm.topologyStats.last_3h.emitted,gauge,,sample,,All Time Emitted Tuples,1,storm,
storm.topologyStats.last_3h.completeLatency,gauge,,millisecond,,All Time Complete Latence,-1,storm,
storm.topologyStats.last_1d.acked,gauge,,sample,,All Time Acked Tuples,1,storm,
storm.topologyStats.last_1d.failed,gauge,,sample,,All Time Failed Tuples,-1,storm,
storm.topologyStats.last_1d.transferred,gauge,,sample,,Number of Transferred Tuples,1,storm,
storm.topologyStats.last_1d.emitted,gauge,,sample,,All Time Emitted Tuples,1,storm,
storm.topologyStats.last_1d.completeLatency,gauge,,millisecond,,All Time Complete Latence,-1,storm,
storm.topologyStats.last_All.acked,gauge,,sample,,All Time Acked Tuples,1,storm,
storm.topologyStats.last_All.failed,gauge,,sample,,All Time Failed Tuples,-1,storm,
storm.topologyStats.last_All.transferred,gauge,,sample,,Number of Transferred Tuples,1,storm,
storm.topologyStats.last_All.emitted,gauge,,sample,,All Time Emitted Tuples,1,storm,
storm.topologyStats.last_All.completeLatency,gauge,,millisecond,,All Time Complete Latence,-1,storm,
